subfolder,filename,n,m,T_star,Cmax,ratio,time_total,best_objective,best_type,best_gap,best_time
instanciasde10a100,537.txt,500,30,211,229.0,1.085308,1.97,213.0,3.0,2.0,300.0
instanciasde10a100,538.txt,500,30,212,242.0,1.141509,2.24,214.0,1.0,1.0,300.0
instanciasde10a100,539.txt,500,30,209,222.0,1.062201,1.817,212.0,3.0,3.0,300.0
instanciasde10a100,540.txt,500,30,209,228.0,1.090909,2.024,211.0,3.0,2.0,300.0
instanciasde10a100,541.txt,500,40,147,166.0,1.129252,2.741,149.0,3.0,2.0,300.0
instanciasde10a100,542.txt,500,40,148,172.0,1.162162,2.674,150.0,1.0,2.0,300.0
instanciasde10a100,543.txt,500,40,149,173.0,1.161074,2.725,150.0,1.0,1.0,300.0
instanciasde10a100,544.txt,500,40,147,164.0,1.115646,2.848,149.0,3.0,2.0,300.0
instanciasde10a100,545.txt,500,40,149,161.0,1.080537,2.7,151.0,1.0,1.0,300.0
instanciasde10a100,546.txt,500,40,148,162.0,1.094595,2.752,150.0,3.0,2.0,300.0
instanciasde10a100,547.txt,500,40,150,168.0,1.12,2.721,152.0,3.0,2.0,300.0
instanciasde10a100,548.txt,500,40,151,162.0,1.072848,2.959,153.0,3.0,2.0,300.0
instanciasde10a100,549.txt,500,40,146,161.0,1.10274,2.632,148.0,3.0,2.0,300.0
instanciasde10a100,550.txt,500,40,149,163.0,1.09396,2.847,151.0,3.0,2.0,300.0
instanciasde10a100,551.txt,500,50,115,134.0,1.165217,3.22,116.0,1.0,1.0,300.0
instanciasde10a100,552.txt,500,50,116,138.0,1.189655,3.759,119.0,3.0,2.0,300.0
instanciasde10a100,553.txt,500,50,115,132.0,1.147826,3.323,117.0,1.0,2.0,300.0
instanciasde10a100,554.txt,500,50,115,127.0,1.104348,3.73,118.0,1.0,2.0,300.0
instanciasde10a100,555.txt,500,50,115,134.0,1.165217,4.173,117.0,1.0,2.0,300.0
instanciasde10a100,556.txt,500,50,114,131.0,1.149123,3.832,117.0,1.0,2.0,300.0
instanciasde10a100,557.txt,500,50,116,129.0,1.112069,3.437,119.0,1.0,3.0,300.0
instanciasde10a100,558.txt,500,50,115,131.0,1.13913,4.041,117.0,1.0,2.0,300.0
instanciasde10a100,559.txt,500,50,114,125.0,1.096491,3.869,116.0,1.0,2.0,300.0
instanciasde10a100,560.txt,500,50,113,125.0,1.106195,3.776,116.0,1.0,2.0,300.0
Instanciasde1000a1100,1011.txt,1000,10,100817,101740.0,1.009155,4.725,100820.0,1.0,2.26049,300.0
Instanciasde1000a1100,1012.txt,1000,10,100870,101723.0,1.008456,4.659,100876.0,1.0,2.53928,300.0
Instanciasde1000a1100,1013.txt,1000,10,100918,103759.0,1.028152,5.06,100922.0,1.0,2.47275,300.0
Instanciasde1000a1100,1014.txt,1000,10,100901,101848.0,1.009385,5.01,100908.0,1.0,1.46522,300.0
Instanciasde1000a1100,1015.txt,1000,10,100889,102874.0,1.019675,4.997,100897.0,1.0,6.41368,300.0
Instanciasde1000a1100,1016.txt,1000,10,100874,102766.0,1.018756,4.797,100881.0,1.0,5.17518,300.0
