subfolder,filename,n,m,T_star,Cmax,ratio,time_total,int_in_lp
MaqCorre,1019.txt,1000,10,3036,3150.0,1.037549,3.034,984
MaqCorre,1020.txt,1000,10,5670,6087.0,1.073545,4.047,977
MaqCorre,1021.txt,1000,20,1036,1072.0,1.034749,6.376,979
MaqCorre,1022.txt,1000,20,982,1036.0,1.05499,7.377,975
MaqCorre,1023.txt,1000,20,2034,2110.0,1.037365,6.763,973
MaqCorre,1024.txt,1000,20,1048,1099.0,1.048664,7.596,972
MaqCorre,1025.txt,1000,20,1670,1757.0,1.052096,6.925,975
MaqCorre,1026.txt,1000,20,1266,1329.0,1.049763,7.386,980
MaqCorre,1027.txt,1000,20,856,880.0,1.028037,6.463,979
MaqCorre,1028.txt,1000,20,1226,1265.0,1.031811,6.857,977
MaqCorre,1029.txt,1000,20,2567,2835.0,1.104402,8.195,969
MaqCorre,1030.txt,1000,20,1230,1265.0,1.028455,7.03,980
MaqCorre,1031.txt,1000,30,1254,1359.0,1.083732,12.299,965
MaqCorre,1032.txt,1000,30,894,984.0,1.100671,12.326,970
MaqCorre,1033.txt,1000,30,744,790.0,1.061828,10.795,962
MaqCorre,1034.txt,1000,30,1185,1249.0,1.054008,11.78,966
MaqCorre,1035.txt,1000,30,998,1052.0,1.054108,13.378,968
MaqCorre,1036.txt,1000,30,715,792.0,1.107692,11.872,960
MaqCorre,1037.txt,1000,30,667,705.0,1.056972,11.652,972
MaqCorre,1038.txt,1000,30,941,1025.0,1.089267,12.512,959
MaqCorre,1039.txt,1000,30,525,580.0,1.104762,8.321,966
MaqCorre,1040.txt,1000,30,777,875.0,1.126126,15.849,949
MaqCorre,1041.txt,1000,40,749,820.0,1.094793,19.146,954
MaqCorre,1042.txt,1000,40,814,888.0,1.090909,17.865,951
MaqCorre,1043.txt,1000,40,864,944.0,1.092593,18.945,955
MaqCorre,1044.txt,1000,40,608,682.0,1.121711,17.265,962
MaqCorre,1045.txt,1000,40,646,717.0,1.109907,18.906,947
MaqCorre,1046.txt,1000,40,552,612.0,1.108696,15.431,962
MaqCorre,1047.txt,1000,40,841,917.0,1.090369,20.764,958
MaqCorre,1048.txt,1000,40,586,650.0,1.109215,18.236,949
MaqCorre,1049.txt,1000,40,929,1016.0,1.093649,18.595,962
MaqCorre,1050.txt,1000,40,569,647.0,1.137083,16.064,962
MaqCorre,1051.txt,1000,50,823,912.0,1.108141,25.703,949
MaqCorre,1052.txt,1000,50,524,592.0,1.129771,22.019,949
MaqCorre,1053.txt,1000,50,503,568.0,1.129225,21.002,950
MaqCorre,1054.txt,1000,50,701,768.0,1.095578,25.601,952
MaqCorre,1055.txt,1000,50,377,463.0,1.228117,19.911,952
MaqCorre,1056.txt,1000,50,383,454.0,1.185379,16.964,955
MaqCorre,1057.txt,1000,50,372,452.0,1.215054,17.236,952
MaqCorre,1058.txt,1000,50,461,527.0,1.143167,22.407,945
MaqCorre,1059.txt,1000,50,496,590.0,1.189516,21.057,952
MaqCorre,1060.txt,1000,50,559,617.0,1.103757,23.661,944
MaqCorre,111.txt,100,10,433,619.0,1.429561,0.119,81
MaqCorre,112.txt,100,10,407,476.0,1.169533,0.087,90
MaqCorre,113.txt,100,10,286,318.0,1.111888,0.223,89
MaqCorre,114.txt,100,10,345,465.0,1.347826,0.112,80
MaqCorre,115.txt,100,10,320,364.0,1.1375,0.082,91
MaqCorre,116.txt,100,10,158,189.0,1.196203,0.096,86
MaqCorre,117.txt,100,10,498,583.0,1.170683,0.12,89
MaqCorre,118.txt,100,10,256,290.0,1.132812,0.115,86
MaqCorre,119.txt,100,10,351,403.0,1.148148,0.09,86
MaqCorre,120.txt,100,10,299,330.0,1.103679,0.085,88
MaqCorre,121.txt,100,20,100,183.0,1.83,0.215,84
MaqCorre,122.txt,100,20,131,185.0,1.412214,0.187,82
MaqCorre,123.txt,100,20,112,154.0,1.375,0.209,80
MaqCorre,124.txt,100,20,82,119.0,1.45122,0.169,84
MaqCorre,125.txt,100,20,162,200.0,1.234568,0.179,82
MaqCorre,126.txt,100,20,97,188.0,1.938144,0.159,85
MaqCorre,127.txt,100,20,205,294.0,1.434146,0.167,79
MaqCorre,128.txt,100,20,147,197.0,1.340136,0.161,83
MaqCorre,129.txt,100,20,111,203.0,1.828829,0.231,81
MaqCorre,130.txt,100,20,196,276.0,1.408163,0.172,79
MaqCorre,131.txt,100,30,72,135.0,1.875,0.233,82
MaqCorre,132.txt,100,30,90,156.0,1.733333,0.289,80
MaqCorre,133.txt,100,30,90,177.0,1.966667,0.261,78
MaqCorre,134.txt,100,30,117,196.0,1.675214,0.324,74
MaqCorre,135.txt,100,30,71,120.0,1.690141,0.237,81
MaqCorre,136.txt,100,30,115,169.0,1.469565,0.328,72
MaqCorre,137.txt,100,30,122,199.0,1.631148,0.31,75
MaqCorre,138.txt,100,30,108,183.0,1.694444,0.339,74
MaqCorre,139.txt,100,30,99,196.0,1.979798,0.325,75
MaqCorre,140.txt,100,30,107,187.0,1.747664,0.345,76
MaqCorre,141.txt,100,40,64,105.0,1.640625,0.28,83
MaqCorre,142.txt,100,40,66,127.0,1.924242,0.341,80
MaqCorre,143.txt,100,40,68,89.0,1.308824,0.314,78
MaqCorre,144.txt,100,40,99,186.0,1.878788,0.417,70
MaqCorre,145.txt,100,40,86,168.0,1.953488,0.444,74
MaqCorre,146.txt,100,40,80,138.0,1.725,0.367,74
MaqCorre,147.txt,100,40,66,91.0,1.378788,0.366,76
MaqCorre,148.txt,100,40,68,134.0,1.970588,0.351,82
MaqCorre,149.txt,100,40,89,170.0,1.910112,0.424,72
MaqCorre,150.txt,100,40,78,149.0,1.910256,0.36,71
MaqCorre,151.txt,100,50,72,140.0,1.944444,0.554,69
MaqCorre,152.txt,100,50,61,100.0,1.639344,0.353,77
MaqCorre,153.txt,100,50,56,111.0,1.982143,0.431,76
MaqCorre,154.txt,100,50,72,123.0,1.708333,0.408,73
MaqCorre,155.txt,100,50,64,114.0,1.78125,0.409,75
MaqCorre,156.txt,100,50,60,119.0,1.983333,0.409,78
MaqCorre,157.txt,100,50,68,131.0,1.926471,0.437,71
MaqCorre,158.txt,100,50,68,134.0,1.970588,0.477,70
MaqCorre,159.txt,100,50,65,122.0,1.876923,0.425,82
MaqCorre,160.txt,100,50,55,103.0,1.872727,0.319,80
MaqCorre,211.txt,200,10,508,553.0,1.088583,0.204,185
MaqCorre,212.txt,200,10,464,519.0,1.118534,0.194,188
MaqCorre,213.txt,200,10,811,863.0,1.064118,0.29,189
